,true_theta,est_mean,est_std,Type
0,0.9,0.8144982,0.063957855,train
1,0.9285714,2.1147563,0.08034432,train
2,,-0.21477963,0.056012806,train
3,1.0,1.2126042,0.061469026,train
4,0.57894737,-0.8025019,0.023500703,train
5,0.4375,0.6510162,0.023109088,train
6,1.0,1.1065704,0.042617124,train
7,0.6666667,2.539727,0.05563992,train
8,0.75,0.1958334,0.039100338,train
9,0.6666667,1.7991208,0.05239152,train
10,0.6111111,-0.3448469,0.014841315,train
11,0.7878788,1.2689415,0.020354899,train
12,0.53333336,1.0008105,0.040103234,train
13,0.625,2.4089298,0.049503174,train
14,0.0,0.06644772,0.036083512,train
15,0.5,1.6323403,0.048323404,train
16,0.9591837,-0.45093417,0.014075972,train
17,0.97619045,1.1332572,0.020158563,train
18,0.06666667,0.59394205,0.0346773,train
19,0.5,1.8907449,0.044668157,train
20,1.0,-0.42783362,0.034867298,train
21,1.0,0.9838769,0.039474588,train
22,0.9117647,-0.94759876,0.014700383,train
23,0.8039216,0.5102435,0.016078679,train
24,0.12195122,0.3305194,0.026981873,train
25,0.26086956,1.5114257,0.032427426,train
26,0.5,-0.7703525,0.033693705,train
27,0.6666667,0.50882906,0.029923422,train
28,0.6851852,-1.3194667,0.0152124325,train
29,0.8636364,0.014973602,0.014379378,train
30,0.13333334,0.25838938,0.028848905,train
31,0.23076923,1.4284083,0.03629453,train
32,0.75,-0.84439075,0.035573136,train
33,0.2,0.40764534,0.031441394,train
34,0.68292683,-1.4208593,0.01678675,train
35,0.6,-0.09970746,0.0148361465,train
36,0.07317073,0.26684132,0.017548123,train
37,0.16666667,1.4423809,0.019124378,train
38,0.5,-0.83976054,0.020105774,train
39,0.54545456,0.44146034,0.016423857,train
40,0.6216216,-1.3758442,0.010260006,train
41,0.5945946,-0.042853247,0.0091849435,train
42,0.055555556,0.18277249,0.025678193,train
43,0.0,1.2940954,0.031348914,train
44,0.42857143,-0.96922547,0.033915713,train
45,0.6,0.21371333,0.024178589,train
46,0.5619048,-1.5642741,0.015185761,train
47,0.6296296,-0.31080857,0.011654857,train
48,0.071428575,0.31217462,0.019720633,train
49,0.041666668,1.4334863,0.019690052,train
50,0.44444445,-0.8378872,0.021936247,train
51,0.6,0.3527517,0.017450452,train
52,0.48603353,-1.4111524,0.011010993,train
53,0.5642857,-0.16360237,0.0092337215,train
54,0.9117647,0.6588223,0.031638704,train
55,0.8,1.8030659,0.05142482,train
56,0.6,-0.52829856,0.0248318,train
57,0.33333334,0.6651947,0.023795826,train
58,0.22222222,-1.1461943,0.0123193385,train
59,0.19480519,0.095172815,0.011547193,train
60,0.89,0.8033351,0.019019825,train
61,0.8863636,1.9803398,0.03478456,train
62,0.3043478,-0.37068325,0.015160488,train
63,0.3,0.8595824,0.015587367,train
64,0.25877193,-0.984701,0.009171813,train
65,0.15730338,0.2939985,0.008355434,train
66,1.0,0.7904481,0.03075153,train
67,0.8181818,1.9729304,0.04717661,train
68,0.375,-0.3676897,0.0218291,train
69,0.1,0.86848366,0.022355776,train
70,0.24752475,-1.0026737,0.011586975,train
71,0.13402061,0.2742132,0.010519422,train
72,0.9264706,0.90222186,0.018836334,train
73,0.875,2.1114287,0.035675857,train
74,0.5,-0.23024791,0.014439446,train
75,0.57894737,1.056176,0.01678675,train
76,0.26804122,-0.85810864,0.008560108,train
77,0.20408164,0.45387596,0.008440237,train
78,0.86538464,0.75108737,0.025220558,train
79,0.8666667,1.9494678,0.039275076,train
80,0.625,-0.39681727,0.01871613,train
81,0.47058824,0.8781105,0.01916787,train
82,0.25984251,-1.075449,0.011513936,train
83,0.1262136,0.22515523,0.010059425,train
84,0.8064516,0.7936092,0.017691141,train
85,0.9,2.0178552,0.030356007,train
86,0.4117647,-0.3377247,0.014739087,train
87,0.22222222,0.9658577,0.015388586,train
88,0.2300885,-1.0027795,0.0092704315,train
89,0.22167487,0.33523783,0.008407721,train
90,0.8636364,0.8216223,0.028207155,train
91,0.8947368,2.0833657,0.04414957,train
92,0.0,-0.25503558,0.020193318,train
93,0.45454547,1.1148139,0.022813248,train
94,0.19101124,-0.9280333,0.012235453,train
95,0.19277108,0.4641268,0.011074492,train
96,0.8507463,0.95945257,0.017487455,train
97,0.9054054,2.2909443,0.028948994,train
98,0.34615386,-0.057418324,0.012507336,train
99,0.44444445,1.4082372,0.014700383,train
100,0.28688523,-0.68097264,0.008350187,train
101,0.20618556,0.8047353,0.00832522,train
102,0.06,0.5661554,0.019743398,train
103,0.115384616,1.9481866,0.02395186,train
104,0.25,-0.42982766,0.018992731,train
105,0.46153846,1.1070005,0.06281445,train
106,0.6060606,-0.9066178,0.012073196,train
107,0.69298244,0.6367566,0.01158603,train
108,0.057142857,0.88260424,0.014320589,train
109,0.125,2.3395011,0.019097432,train
110,0.29166666,-0.019043382,0.01339967,train
111,0.45454547,1.5928721,0.016024072,train
112,0.63106793,-0.5312049,0.008586945,train
113,0.64788735,1.0808879,0.009372689,train
114,0.0,0.2665884,0.017548123,train
115,0.0,1.4423809,0.019123806,train
116,0.6363636,-0.83976054,0.020105228,train
117,0.6666667,0.44146034,0.016423857,train
118,0.46341464,-1.3755727,0.010261075,train
119,0.56666666,-0.042853247,0.009186137,train
120,0.33333334,-0.96922547,0.033915713,train
121,1.0,0.21371333,0.024178589,train
122,0.0,-1.564203,0.015185761,train
123,0.25,-0.31070232,0.011655798,train
124,0.0,1.4334863,0.019690052,train
125,0.25,-0.8378872,0.021936746,train
126,0.5,0.3527517,0.017450452,train
127,0.39130434,-1.4111524,0.011011988,train
128,0.39285713,-0.16360237,0.0092337215,train
129,0.33333334,-0.52829856,0.024831356,train
130,0.0,0.6651947,0.023795826,train
131,0.41666666,-1.1461943,0.012318449,train
132,0.22222222,0.095172815,0.011546245,train
133,1.0,0.8033351,0.019019825,train
134,1.0,1.9803398,0.034784243,train
135,0.41666666,-0.37068325,0.015160488,train
136,0.6666667,0.8595824,0.015586664,train
137,0.31578946,-0.984701,0.009170619,train
138,0.25,0.2939985,0.008355434,train
139,1.0,0.7904481,0.03075153,train
140,1.0,1.9729304,0.04717661,train
141,0.4,-0.3676897,0.021828597,train
142,0.33333334,0.86848366,0.022356266,train
143,0.54545456,-1.0026737,0.011586975,train
144,0.33333334,0.2742132,0.010518379,train
145,0.6666667,0.90222186,0.018836334,train
146,0.6,2.1114287,0.035676163,train
147,0.8333333,-0.23024791,0.014438687,train
148,0.14285715,1.056176,0.01678675,train
149,0.4473684,-0.85810864,0.008561389,train
150,0.15,0.45387596,0.008440237,train
151,1.0,0.7515457,0.025219254,train
152,1.0,1.9499273,0.03927564,train
153,0.75,-0.39644462,0.0187173,train
154,0.125,0.8781105,0.01916787,train
155,0.52380955,-1.0752478,0.01151584,train
156,0.33333334,0.2252922,0.010059425,train
157,0.75,0.7940336,0.017691761,train
158,0.33333334,-0.3377247,0.014739087,train
159,0.4,0.9658577,0.015388586,train
160,0.28947368,-1.0025439,0.009271613,train
161,0.27906978,0.33523783,0.008407721,train
162,1.0,0.8216223,0.028207155,train
163,1.0,2.0833657,0.04414957,train
164,0.0,-0.25503558,0.020193318,train
165,0.0,1.1154964,0.022814207,train
166,0.33333334,-0.9280333,0.012235453,train
167,0.33333334,0.4641268,0.011074492,train
168,0.0,0.95945257,0.017487455,train
169,0.75,2.2909443,0.028948994,train
170,0.5555556,-0.057418324,0.012507336,train
171,0.46153846,1.4082372,0.014700383,train
172,0.51111114,-0.68097264,0.008350187,train
173,0.33333334,0.8047353,0.00832522,train
174,0.0,1.9481866,0.02395186,train
175,0.25,-0.42982766,0.018992156,train
176,0.8,1.1070005,0.06281445,train
177,0.5625,-0.9066178,0.012072289,train
178,0.59375,0.6367566,0.011586975,train
179,0.0,2.3395011,0.019096285,train
180,0.25,-0.019043382,0.013398852,train
181,0.4,1.5928721,0.016023388,train
182,0.44,-0.5312049,0.008588221,train
183,0.71875,1.0808879,0.009372689,train
184,0.5,-0.21477963,0.05601261,train
185,,1.2126042,0.06146885,train
186,0.6363636,-0.8025019,0.02350117,train
187,0.6666667,0.6510162,0.02310814,train
188,0.0,1.1065704,0.042617124,train
189,0.7692308,0.1958334,0.039100338,train
190,1.0,1.7991208,0.05239194,train
191,0.73170733,-0.3448469,0.014842053,train
192,0.73333335,1.2689415,0.020355435,train
193,1.0,2.4089298,0.049503174,train
194,0.7,0.06644772,0.036083512,train
195,0.8125,1.6323403,0.048323404,train
